category_main,topic,n_products,avg_rating,avg_discount,avg_predicted_stars,is_watchlist
Car&Motorbike,14,1,3.8,0.42,4.0,True
Computers&Accessories,1,8,3.8625,0.51375,3.625,True
Computers&Accessories,4,1,3.9,0.9,4.0,True
Computers&Accessories,12,10,3.95,0.189,3.7,False
Computers&Accessories,19,15,4.06,0.5933333333333334,3.733333333333333,True
Computers&Accessories,9,1,4.1,0.66,4.0,True
Computers&Accessories,3,3,4.133333333333334,0.4033333333333333,3.333333333333333,False
Computers&Accessories,0,161,4.13416149068323,0.592360248447205,3.770186335403727,True
Computers&Accessories,8,24,4.158333333333333,0.6191666666666666,3.583333333333333,True
Computers&Accessories,18,25,4.172,0.4675999999999999,3.48,False
Computers&Accessories,17,2,4.199999999999999,0.4049999999999999,4.0,False
Computers&Accessories,25,7,4.214285714285714,0.5657142857142857,3.4285714285714284,False
Computers&Accessories,13,3,4.233333333333333,0.6166666666666667,4.333333333333333,False
Computers&Accessories,21,2,4.25,0.465,3.5,False
Computers&Accessories,6,58,4.255172413793104,0.4134482758620689,3.534482758620689,False
Computers&Accessories,11,31,4.296774193548386,0.5074193548387097,3.3870967741935485,False
Computers&Accessories,24,1,4.4,0.5,4.0,False
Electronics,18,1,3.0,0.74,2.0,True
Electronics,7,54,3.838888888888889,0.5548148148148149,2.9444444444444446,True
Electronics,1,79,3.9392405063291136,0.570379746835443,3.1772151898734178,True
Electronics,5,63,4.041269841269841,0.6841269841269841,3.3492063492063493,True
Electronics,17,25,4.06,0.3224,3.32,False
Electronics,19,7,4.085714285714286,0.6514285714285715,3.857142857142857,True
Electronics,14,2,4.1,0.4,4.0,False
Electronics,8,29,4.103448275862069,0.6689655172413793,3.827586206896552,True
Electronics,9,54,4.112962962962963,0.2311111111111111,3.2777777777777777,False
Electronics,3,68,4.19264705882353,0.4026470588235294,3.4558823529411766,False
Electronics,0,45,4.211111111111111,0.4486666666666667,3.7777777777777777,False
Electronics,21,21,4.257142857142857,0.5833333333333334,4.095238095238095,False
Electronics,11,10,4.4,0.538,2.7,False
Electronics,25,10,4.41,0.661,3.9,False
Electronics,6,1,4.5,0.15,4.0,False
Health&PersonalCare,13,1,4.0,0.53,4.0,True
Home&Kitchen,10,52,3.882692307692308,0.3888461538461538,3.173076923076923,False
Home&Kitchen,23,18,3.911111111111111,0.4577777777777778,3.5,True
Home&Kitchen,20,24,3.970833333333333,0.5033333333333333,3.583333333333333,True
Home&Kitchen,22,19,3.9894736842105263,0.4094736842105262,3.0,True
Home&Kitchen,19,1,4.0,0.36,5.0,False
Home&Kitchen,4,64,4.025,0.3990625,3.34375,True
Home&Kitchen,24,17,4.052941176470589,0.4052941176470588,3.647058823529412,True
Home&Kitchen,15,28,4.085714285714286,0.4674999999999999,3.4285714285714284,True
Home&Kitchen,8,1,4.1,0.59,3.0,True
Home&Kitchen,18,1,4.1,0.37,4.0,False
Home&Kitchen,13,28,4.110714285714286,0.4492857142857143,3.821428571428572,False
Home&Kitchen,14,28,4.110714285714286,0.3839285714285714,3.607142857142857,False
Home&Kitchen,16,28,4.110714285714286,0.3067857142857143,3.607142857142857,False
Home&Kitchen,0,4,4.125,0.4875,3.25,False
Home&Kitchen,2,73,4.131506849315069,0.3886301369863014,3.7260273972602738,False
Home&Kitchen,7,1,4.3,0.31,4.0,False
Home&Kitchen,12,5,4.42,0.05,4.8,False
HomeImprovement,8,1,4.0,0.57,3.0,False
HomeImprovement,0,1,4.5,0.58,4.0,False
MusicalInstruments,1,2,3.9,0.4599999999999999,3.0,True
OfficeProducts,12,24,4.291666666666667,0.0837499999999999,3.7916666666666665,True
OfficeProducts,19,1,4.3,0.53,3.0,True
OfficeProducts,13,3,4.433333333333334,0.0166666666666666,4.333333333333333,False
Toys&Games,12,1,4.3,0.0,4.0,True
